bank,bank_type,year,total_assets_crore,deposits_crore,loans_crore,operating_income_crore,operating_expense_crore,net_profit_crore,equity_crore,npl_ratio_pct,roa_pct,roe_pct,capital_adequacy_pct,cost_to_income_pct,loan_to_deposit_pct,casa_ratio_pct,branches,digital_users,employees,profit_per_employee_bdt,asset_growth_pct,deposit_growth_pct,loan_growth_pct,profit_growth_pct,performance_score
Bank Bravo,Private Commercial,2024,68858.29,55032.66,38050.29,2479.11,1099.77,848.13,6115.71,6.04,1.23,13.87,12.86,44.36,69.14,33.25,99,518541,2240,3786275.0,14.05,16.23,5.13,-13.15,50.7
Bank Bravo,Private Commercial,2025,74851.42,60956.6,41699.72,2606.45,1474.62,584.13,6958.75,6.1,0.78,8.39,13.96,56.58,68.41,34.22,102,661224,2246,2600740.0,8.7,10.76,9.59,-31.13,40.0
Bank Crest,Private Commercial,2020,67000,54845.47,37796.45,2523.22,1495.07,604.59,5243.69,4.39,0.9,11.53,15.62,59.25,68.91,43.14,86,154474,2000,3022971.0,,,,,49.4
Bank Crest,Private Commercial,2021,78246.83,65262.32,48515.6,2856.83,1646.01,745.88,6913.68,4.21,0.95,10.79,14.96,57.62,74.34,42.93,91,206013,2066,3610239.0,16.79,18.99,28.36,23.37,49.2
Bank Crest,Private Commercial,2022,85482.87,70890.42,51893.37,3207.96,1567.06,926.4,7687.12,4.37,1.08,12.05,15.71,48.85,73.2,43.19,95,291891,2072,4471024.0,9.25,8.62,6.96,24.2,55.9
Bank Crest,Private Commercial,2023,96151.14,79793.13,61088.3,3955.47,2135.33,1096.2,9180.12,4.84,1.14,11.94,13.28,53.98,76.56,42.3,101,394072,2120,5170744.0,12.48,12.56,17.72,18.33,48.4
Bank Crest,Private Commercial,2024,106438.52,82804.23,57763.49,3796.56,1714.7,1327.83,10351.75,5.23,1.25,12.83,14.35,45.16,69.76,43.12,104,536544,2345,5662394.0,10.7,3.77,-5.44,21.13,54.7
Bank Crest,Private Commercial,2025,117835.5,97945.95,67624.46,4711.39,2404.13,1237.8,10625.12,5.65,1.05,11.65,13.52,51.03,69.04,44.41,103,834774,2218,5580682.0,10.71,18.29,17.07,-6.78,47.1
Bank Delta,Private Commercial,2020,38000,30362.36,22619.77,1736.36,863.22,544.65,2942.71,7.75,1.43,18.51,12.55,49.71,74.5,29.61,94,188210,2150,2533260.0,,,,,48.4
Bank Delta,Private Commercial,2021,42468.48,34333.39,26482.42,1692.76,810.17,434.11,4297.23,7.37,1.02,10.1,14.21,47.86,77.13,30.17,98,263262,2191,1981342.0,11.76,13.08,17.08,-20.3,44.2
Bank Delta,Private Commercial,2022,46536.38,37563.72,26441.05,1869.82,1037.76,484.15,4039.99,7.78,1.04,11.98,13.07,55.5,70.39,31.58,100,354394,2308,2097698.0,9.58,9.41,-0.16,11.53,39.2
Bank Delta,Private Commercial,2023,51246.91,39317.04,27970.75,1825.71,899.77,445.95,5025.39,7.37,0.87,8.87,14.44,49.28,71.14,32.94,106,481826,2401,1857360.0,10.12,4.67,5.79,-7.89,41.9
Bank Delta,Private Commercial,2024,57970.77,45690.95,33451.83,2441.4,1358.5,680.49,4433.15,7.59,1.17,15.35,15.57,55.64,73.21,34.19,110,668811,2315,2939500.0,13.12,16.21,19.6,52.59,47.6
Bank Delta,Private Commercial,2025,63774.8,52238.07,35830.16,2867.76,1568.72,712.72,5774.08,8.37,1.12,12.34,14.45,54.7,68.59,33.49,127,866966,2333,3054956.0,10.01,14.33,7.11,4.74,41.5
Bank Echo,Private Commercial,2020,74000,61687.4,46113.75,3178.97,1858.93,816.6,7442.96,5.92,1.1,10.97,11.73,58.48,74.75,34.86,102,196608,2300,3550428.0,,,,,39.9
Bank Echo,Private Commercial,2021,81549.84,68269.2,50629.77,3067.85,1678.49,728.7,7139.64,6.27,0.89,10.21,14.88,54.71,74.16,36.27,104,287234,2379,3063035.0,10.2,10.67,9.79,-10.76,44.3
Bank Echo,Private Commercial,2022,92491.5,72295.6,49583.75,3607.88,1887.76,1127.9,9343.63,5.84,1.22,12.07,15.9,52.32,68.58,36.84,110,413420,2499,4513407.0,13.42,5.9,-2.07,54.78,52.3
Bank Echo,Private Commercial,2023,99510.77,79394.98,54499.54,3887.41,2203.89,997.32,9148.27,5.56,1.0,10.9,11.75,56.69,68.64,37.17,115,538871,2592,3847668.0,7.59,9.82,9.91,-11.58,40.7
Bank Echo,Private Commercial,2024,109453.7,91164.47,68127.29,4786.55,2517.8,1224.45,9230.14,5.94,1.12,13.27,11.9,52.6,74.73,36.72,126,750005,2599,4711228.0,9.99,14.82,25.01,22.77,44.3
Bank Echo,Private Commercial,2025,117459.39,94481.09,64712.53,4120.16,1995.64,1186.91,10202.86,6.64,1.01,11.63,13.16,48.44,68.49,37.94,119,1066362,2491,4764776.0,7.31,3.64,-5.01,-3.07,44.7
Bank Frontier,Private Commercial,2020,59000,47027.3,35404.61,2609.88,1544.04,594.07,5092.98,7.08,1.01,11.66,12.43,59.16,75.29,30.07,110,236482,2450,2424776.0,,,,,37.7
Bank Frontier,Private Commercial,2021,69490.99,53513.52,37581.5,2952.33,1572.2,883.49,6754.27,6.64,1.27,13.08,14.81,53.25,70.23,30.01,115,342553,2502,3531132.0,17.78,13.79,6.15,48.72,48.9
Bank Frontier,Private Commercial,2022,80906.02,62443.68,42709.11,2875.34,1682.75,680.76,6376.89,6.43,0.84,10.68,15.29,58.52,68.4,31.38,119,464673,2591,2627413.0,16.43,16.69,13.64,-22.95,42.9
Bank Frontier,Private Commercial,2023,93586.27,75711.05,55881.91,3853.27,2051.95,948.7,7668.16,6.01,1.01,12.37,12.19,53.25,73.81,32.62,120,602940,2712,3498153.0,15.67,21.25,30.84,39.36,42.9
Bank Frontier,Private Commercial,2024,104264.91,86115.29,63768.56,4107.67,1927.97,1269.37,10548.06,6.21,1.22,12.03,13.76,46.94,74.05,32.64,125,807709,2823,4496540.0,11.41,13.74,14.11,33.8,49.6
Bank Frontier,Private Commercial,2025,115265.12,95234.48,65098.07,4565.47,2082.83,1438.32,10694.81,6.78,1.25,13.45,13.24,45.62,68.36,33.23,142,1181303,2810,5118592.0,10.55,10.59,2.08,13.31,49.0
Bank Green,Islamic Commercial,2020,81000,63247.28,44020.07,3154.77,1750.12,951.65,6878.76,3.91,1.17,13.83,14.46,55.48,69.6,43.51,118,260867,2600,3660185.0,,,,,53.8
Bank Green,Islamic Commercial,2021,94699.48,78955.31,58934.41,3819.53,2245.25,895.35,9650.06,3.7,0.95,9.28,15.57,58.78,74.64,43.93,121,369867,2685,3334642.0,16.91,24.84,33.88,-5.92,50.1
Bank Green,Islamic Commercial,2022,110309.3,86662.46,65790.77,4080.35,1821.99,1428.27,8842.19,3.8,1.29,16.15,14.26,44.65,75.92,44.76,129,516668,2695,5299697.0,16.48,9.76,11.63,59.52,60.9
Bank Green,Islamic Commercial,2023,126019.55,102525.13,74524.58,4676.12,2161.12,1584.41,12278.34,3.9,1.26,12.9,14.51,46.22,72.69,44.28,132,707013,2754,5753130.0,14.24,18.3,13.28,10.93,58.0
Bank Green,Islamic Commercial,2024,138897.91,109738.72,81748.84,5736.93,3165.9,1595.92,14456.92,3.92,1.15,11.04,12.57,55.18,74.49,44.39,144,895428,2769,5763527.0,10.22,7.04,9.69,0.73,48.3
Bank Green,Islamic Commercial,2025,156021.53,129585.25,99901.37,5694.16,3202.69,1674.84,12717.59,4.06,1.07,13.17,14.57,56.25,77.09,44.63,137,1174280,3024,5538496.0,12.33,18.09,22.21,4.95,52.0
Bank Horizon,Islamic Commercial,2020,48000,36888.68,26631.11,2064.64,936.9,677.56,3921.85,6.47,1.41,17.28,12.07,45.38,72.19,37.48,126,272391,2750,2463840.0,,,,,51.5
Bank Horizon,Islamic Commercial,2021,55309.98,44047.12,33341.59,2106.64,1117.93,495.37,5771.06,6.68,0.9,8.58,13.04,53.07,75.7,38.46,131,401475,2802,1767917.0,15.23,19.41,25.2,-26.89,39.5
Bank Horizon,Islamic Commercial,2022,63234.32,48442.15,35155.56,2365.01,1205.75,611.66,6358.83,6.45,0.97,9.62,14.4,50.98,72.57,38.28,136,560830,2927,2089710.0,14.33,9.98,5.44,23.48,44.8
Bank Horizon,Islamic Commercial,2023,68738.64,56385.79,38508.0,3078.73,1653.01,786.6,5564.85,6.61,1.14,14.14,13.14,53.69,68.29,39.44,141,737525,2953,2663744.0,8.7,16.4,9.54,28.6,45.3
Bank Horizon,Islamic Commercial,2024,78173.65,64717.11,46419.64,2728.76,1371.31,739.72,6553.16,6.56,0.95,11.29,12.09,50.25,71.73,40.04,143,1028785,3141,2355050.0,13.73,14.78,20.55,-5.96,41.4
Bank Horizon,Islamic Commercial,2025,85994.19,70138.92,53446.38,3364.94,1618.09,933.89,6865.11,7.27,1.09,13.6,12.43,48.09,76.2,39.62,143,1328271,3111,3001889.0,10.0,8.38,15.14,26.25,43.9
